Model Name,Test Loss,Test Accuracy,Test F1Score,Training Time
EfficientnetV2B0 Without Augmentation Trainable First 25% Layer,0.06150245666503906,0.9877955913543701,0.9756888,217.56013417243958
EfficientnetV2B3 Without Augmentation Trainable First 25% Layer,0.0761382132768631,0.9855072498321533,0.97235763,367.20019364356995
EfficientnetV2M Without Augmentation Trainable First 25% Layer,0.0723421573638916,0.9923722147941589,0.987013,814.2377669811249
EfficientnetV2B0 with Augmentation Trainable First 25% Layer,0.07620539516210556,0.9893211126327515,0.98217183,408.73420000076294
EfficientnetV2B3 With Augmentation Trainable First 25% Layer,0.05201173573732376,0.9900839328765869,0.98217183,673.7972791194916
EfficientnetV2M With Augmentation Trainable First 25% Layer,0.08254963904619217,0.9923722147941589,0.9886179,1481.2177267074585
